,Uj0,"Qtot,",omega
0,3.6629 +/- 0.0002,0.229 +/- 0.0034,0.7253 +/- 0.0
1,3.7464 +/- 0.0001,0.3964 +/- 0.014,1.0541 +/- 0.0104
2,3.888 +/- 0.0026,0.3121 +/- 0.0037,2.6373 +/- 0.011
3,4.264 +/- 0.0037,0.3888 +/- 0.0047,4.1457 +/- 0.0
4,4.0215 +/- 0.0028,0.2223 +/- 0.0,1.4752 +/- 0.0611
5,4.1538 +/- 0.002,0.1814 +/- 0.0,1.1119 +/- 0.013
6,0.078 +/- 0.0017,1.2178 +/- 0.0295,0.1076 +/- 0.0
7,0.1067 +/- 0.0013,0.5395 +/- 0.0076,0.0992 +/- 0.0014
8,0.1346 +/- 0.0056,0.0594 +/- 0.0018,0.1869 +/- 0.001
9,0.1468 +/- 0.0118,0.0608 +/- 0.0048,0.2002 +/- 0.0322
10,0.1746 +/- 0.0042,0.1621 +/- 0.0043,0.1499 +/- 0.0026
11,0.3433 +/- 0.0,0.0817 +/- 0.0006,6.716 +/- 0.1305
